ticker,currency,portfolio,quantity,transaction_date,price,commission,instrument_type,is_short,alpha_ticker,saved_as,geography,sector,group,industry
ABX,USD,IB Brokers,400,2018-02-16,15,0,Stock,0,ABX,ABX,USA,Basic Materials,Metals & Mining,Gold mining
ABX 16Feb18 C 14,USD,IB Brokers,-400,2018-02-05,0.21,3.16,Options,1,ABX,ABX,USA,Basic Materials,Metals & Mining,Gold mining
ABX 16Feb18 C 14,USD,IB Brokers,400,2018-02-15,0.05,2.35,Options,1,ABX,ABX,USA,Basic Materials,Metals & Mining,Gold mining
ABX 16Feb18 P 15,USD,IB Brokers,400,2018-02-16,0,0,Options,1,ABX,ABX,USA,Basic Materials,Metals & Mining,Gold mining
ALLY 16Feb18 C 29,USD,IB Brokers,500,2018-02-12,0.15,3.94,Options,1,ALLY,ALLY,USA,Financials,Banks,Thrift Mortgage Finance
AXP,USD,IB Brokers,100,2018-02-16,98.5,0,Stock,0,AXP,AXP,USA,,,
AXP,USD,IB Brokers,100,2018-02-17,97.5,0,Stock,0,AXP,AXP,USA,,,
AXP,USD,IB Brokers,-200,2018-02-20,97.22,1.4729564,Stock,0,AXP,AXP,USA,,,
AXP 16Feb18 C 97,USD,IB Brokers,-200,2018-02-12,0.39,0.98,Options,1,AXP,AXP,USA,Financials,Diversified Financials,Consumer Finance
AXP 16Feb18 C 97,USD,IB Brokers,200,2018-02-16,0,0,Options,1,AXP,AXP,USA,Financials,Diversified Financials,Consumer Finance
AXP 16Feb18 P 97.5,USD,IB Brokers,100,2018-02-16,0,0,Options,1,AXP,AXP,USA,Financials,Diversified Financials,Consumer Finance
AXP 16Feb18 P 98.5,USD,IB Brokers,100,2018-02-16,0,0,Options,1,AXP,AXP,USA,Financials,Diversified Financials,Consumer Finance
BBI,CAD,IB Brokers,9600,2018-02-02,0.315,15.84,Stock,0,BBI.V,BBI,Canada,Energy,,
BIB 20Apr18 P 57,USD,IB Brokers,-300,2018-02-20,3.52,0,Options,1,BIB,BIB,USA,Healthcare,Pharmaceuticals Biotech,Biotechnology
CAD,EUR,IB Brokers,31138.6,2018-02-14,0.642289634087596,1.62,Forex,,,,,,,
COF 18Jan19 P 90,USD,IB Brokers,-100,2018-02-09,8.75,0.81,Options,0,COF,COF,,Financials,Diversified Financials,Consumer Finance
CSCO,USD,IB Brokers,-400,2018-02-23,44,0.45416,Stock,1,CSCO,CSCO,USA,Tech,,
CSCO,USD,IB Brokers,400,2018-02-28,45.29,2,Stock,1,CSCO,CSCO,USA,Tech,,
CSCO 23Feb18 C 44,USD,IB Brokers,-1000,2018-02-15,0.5,4.91,Options,1,CSCO,CSCO,USA,Tech,,
CSCO 23Feb18 C 44,USD,IB Brokers,1000,2018-02-23,0,0,Options,1,CSCO,CSCO,USA,Tech,,
CSCO 2Mar18 C 44,USD,IB Brokers,-500,2018-02-15,0.68,2.46,Options,1,CSCO,CSCO,USA,Tech,,
CSCO 2Mar18 C 44,USD,IB Brokers,500,2018-02-23,0.17,6.39,Options,1,CSCO,CSCO,USA,Tech,,
DDD 16Mar18 C 12,USD,IB Brokers,-1000,2018-02-01,0.32,7.91,Options,1,DDD,DDD,USA,Tech,Hardware Equipment,Hardware Storage Peripherals
DDD 16Mar18 C 12,USD,IB Brokers,1000,2018-02-28,0.13,4.88,Options,1,DDD,DDD,USA,Tech,Hardware Equipment,Hardware Storage Peripherals
EQX,CAD,IB Brokers,5000,2018-02-09,1.09,27.25,Stock,0,EQX.V,EQX,Canada,Basic Materials,,Gold mining
ESPR  16Mar18 C 75,USD,IB Brokers,-100,2018-02-12,4.4,0.35,Options,1,ESPR,ESPR,USA,Healthcare,Pharmaceuticals Biotech,Biotechnology
ESPR  16Mar18 C 75,USD,IB Brokers,100,2018-02-23,8.2,0.34,Options,1,ESPR,ESPR,USA,Healthcare,Pharmaceuticals Biotech,Biotechnology
ESS,USD,IB Brokers,-20,2018-02-23,227.01,1.11,Stock,0,ESS,ESS,USA,Financials,,REIT
EWH,USD,IB Brokers,300,2018-02-23,25.546666,1.4,ETF,0,EWH,EWH,Hong-Kong,,,
Fees,EUR,IB Brokers,1,2018-02-05,-0.2,,Fees,,,,,EUR Credit Interest Jan18,,
Fees,USD,IB Brokers,1,2018-02-05,-13.09,,Fees,,,,,USD Debit Interest Jan18,,
Fees,USD,IB Brokers,1,2018-02-05,3.87,,Fees,,,,,USD Net Short Stock Interest Jan18,,
GDX,USD,IB Brokers,-100,2018-02-05,22.575,1.06404825,ETF,0,GDX,GDX,USA,Basic Materials,Metals & Mining,Gold mining
GDX 16Feb18 P 25,USD,IB Brokers,200,2018-02-05,2.41,1.58,Options,1,GDX,GDX,USA,Basic Materials,Metals & Mining,Gold mining
GDXJ,USD,IB Brokers,-300,2018-02-05,32.1225,1.458308925,ETF,0,GDXJ,GDXJ,USA,Basic Materials,Metals & Mining,Gold mining
GDXJ 16Mar18 C 35,USD,IB Brokers,-700,2018-02-05,0.48,3.44,Options,1,GDXJ,GDXJ,USA,Basic Materials,Metals & Mining,Gold mining
GDXJ 16Mar18 C 35,USD,IB Brokers,700,2018-02-28,0.08,3.91,Options,1,GDXJ,GDXJ,USA,Basic Materials,Metals & Mining,Gold mining
GDXJ 16Mar18 P 30,USD,IB Brokers,-400,2018-02-05,0.52,1.68,Options,1,GDXJ,GDXJ,USA,Basic Materials,Metals & Mining,Gold mining
GDXJ 16Mar18 P 30,USD,IB Brokers,400,2018-02-28,0.26,3.15,Options,1,GDXJ,GDXJ,USA,Basic Materials,Metals & Mining,Gold mining
GE,USD,IB Brokers,1000,2018-02-09,16,0,Stock,0,GE,GE,USA,Industrials,Capital Goods,Industrial Conglomerate
GE,USD,IB Brokers,-1000,2018-02-23,14.55064,5.155119784,Stock,0,GE,GE,USA,,,
GE 23Feb18 C 15.5,USD,IB Brokers,-1000,2018-02-09,0.2,4.9,Options,1,GE,GE,USA,Industrials,Capital Goods,Industrial Conglomerate
GE 23Feb18 C 15.5,USD,IB Brokers,1000,2018-02-23,0,0,Options,1,GE,GE,USA,Industrials,Capital Goods,Industrial Conglomerate
GE 23Feb18 P 15,USD,IB Brokers,-1000,2018-02-09,0.65,4.91,Options,1,GE,GE,USA,Industrials,Capital Goods,Industrial Conglomerate
GE 23Feb18 P 15,USD,IB Brokers,1000,2018-02-13,0.62,7.88,Options,1,GE,GE,USA,Industrials,Capital Goods,Industrial Conglomerate
GE 9Feb18 P 16,USD,IB Brokers,1000,2018-02-09,0,0,Options,1,GE,GE,USA,Industrials,Capital Goods,Industrial Conglomerate
GLW,USD,IB Brokers,700,2018-02-02,33,0,Stock,0,GLW,GLW,China,Technology,Hardware Equipment,Electronic Equipment Instruments Components
GLW 23Feb18 P 29.5,USD,IB Brokers,-500,2018-02-09,1.01,2.46,Options,1,GLW,GLW,China,Technology,Hardware Equipment,Electronic Equipment Instruments Components
GLW 23Feb18 P 29.5,USD,IB Brokers,500,2018-02-21,0.18,2.44,Options,1,GLW,GLW,China,Technology,Hardware Equipment,Electronic Equipment Instruments Components
GLW 2Feb18 P 33,USD,IB Brokers,700,2018-02-01,0,0,Options,1,GLW,GLW,China,Technology,Hardware Equipment,Electronic Equipment Instruments Components
JO 15Jun18 P 16,USD,IB Brokers,-700,2018-02-14,1.21,5.55,Options,1,JO,JO,,Soft Commodity,,
LGD,CAD,IB Brokers,10600,2018-02-13,0.41,22.525,Stock,0,LGD.TO,LGD,Canada,Basic Materials,Metals & Mining,Gold mining
LOCO 16Mar18 C 10,USD,IB Brokers,-1000,2018-02-05,0.55,7.91,Options,1,LOCO,LOCO,USA,Consumer Discretionary,Consumer Services,Restaurants
LOCO 16Mar18 C 10,USD,IB Brokers,1000,2018-02-27,0.45,0.38,Options,1,LOCO,LOCO,USA,Consumer Discretionary,Consumer Services,Restaurants
LOCO 16Mar18 P 11,USD,IB Brokers,500,2018-02-23,1.57,0.06,Options,1,LOCO,LOCO,USA,Consumer Discretionary,Consumer Services,Restaurants
LUC,CAD,IB Brokers,2600,2018-02-26,2.5638462,26,Stock,0,LUC.TO,LUC,Canada,Basic Materials,Metals & Mining,Gold mining
MGM,CAD,IB Brokers,11100,2018-02-13,0.28,16.38,Stock,0,MGM.V,MGM,Canada,Basic Materials,Metals & Mining,Gold mining
MRCY,USD,IB Brokers,100,2018-02-23,46.3,1,Stock,0,MRCY,MRCY,USA,Tech,,
MTCH 16Mar18 P 2.5,USD,IB Brokers,200,2018-02-08,2.15,1.58,Options,1,MTCH,MTCH,USA,Technology,Softwares Services,Internet Software Services
NIB,USD,IB Brokers,-200,2018-02-28,26.75,1.15,Stock,0,NIB,NIB,,Basic Materials,,Agricultural commodity
SBIO,USD,IB Brokers,100,2018-02-09,38,0,ETF,0,SBIO,SBIO,USA,Healthcare,Pharmaceuticals Biotech,Biotechnology
SBIO 02Feb18 P 38,USD,IB Brokers,100,2018-02-09,0,0,Options,1,SBIO,SBIO,USA,Healthcare,Pharmaceuticals Biotech,Biotechnology
SPY,USD,IB Brokers,-200,2018-02-16,268,1.26,ETF,1,SPY,SPY,USA,,,
SPY,USD,IB Brokers,100,2018-02-21,271.8298,1,ETF,1,SPY,SPY,USA,,,
SPY,USD,IB Brokers,100,2018-02-28,273.86,1,ETF,1,SPY,SPY,USA,,,
SPY 09Feb18 C 278,USD,IB Brokers,1000,2018-02-02,2.06,4.18,Options,0,SPY,SPY,USA,,,
SPY 09Feb18 C 278,USD,IB Brokers,1000,2018-02-02,1.84,11.58,Options,0,SPY,SPY,USA,,,
SPY 09Feb18 C 278,USD,IB Brokers,-1000,2018-02-03,1.92,11.64,Options,0,SPY,SPY,USA,,,
SPY 09Feb18 C 278,USD,IB Brokers,-1000,2018-02-05,0.26,4.2,Options,0,SPY,SPY,USA,,,
SPY 09Feb18 P 276,USD,IB Brokers,1000,2018-02-02,1.92,11.58,Options,0,SPY,SPY,USA,,,
SPY 09Feb18 P 276,USD,IB Brokers,-1000,2018-02-03,1.97,7.94,Options,0,SPY,SPY,USA,,,
SPY 16Feb18 C 268,USD,IB Brokers,-200,2018-02-12,1.82,0.85,Options,1,SPY,SPY,USA,,,
SPY 16Feb18 C 268,USD,IB Brokers,200,2018-02-16,0,0,Options,1,SPY,SPY,USA,,,
SPY 16Feb18 C 281,USD,IB Brokers,1000,2018-02-02,2.1,11.68,Options,0,SPY,SPY,USA,,,
SPY 16Feb18 C 281,USD,IB Brokers,-1000,2018-02-05,0.445,10.36,Options,0,SPY,SPY,USA,,,
SPY 16Feb18 P 263,USD,IB Brokers,-200,2018-02-08,3.71,2.58,Options,1,SPY,SPY,USA,,,
SPY 16Feb18 P 263,USD,IB Brokers,-200,2018-02-09,5.51,0.87,Options,1,SPY,SPY,USA,,,
SPY 16Feb18 P 263,USD,IB Brokers,-500,2018-02-09,7.68,4.04,Options,1,SPY,SPY,USA,,,
SPY 16Feb18 P 263,USD,IB Brokers,400,2018-02-10,6.82,3.15,Options,1,SPY,SPY,USA,,,
SPY 16Feb18 P 263,USD,IB Brokers,500,2018-02-10,6.8,2.09,Options,1,SPY,SPY,USA,,,
SPY 16Feb18 P 263,USD,IB Brokers,-500,2018-02-11,7.35,1.93,Options,1,SPY,SPY,USA,,,
SPY 16Feb18 P 263,USD,IB Brokers,500,2018-02-12,6.21,3.94,Options,1,SPY,SPY,USA,,,
TBT,USD,IB Brokers,-400,2018-02-09,37,0.39,ETF,0,TBT,TBT,USA,,,
TBT 16Mar18 C 38,USD,IB Brokers,-1000,2018-02-23,1.28,4.23,Options,1,TBT,TBT,USA,,,
TBT 16Mar18 C 38,USD,IB Brokers,1000,2018-02-28,0.92,5.38,Options,1,TBT,TBT,USA,,,
TBT 9Feb18 C 37,USD,IB Brokers,400,2018-02-09,0,0,Options,1,TBT,TBT,USA,,,
UUUU,USD,IB Brokers,1000,2018-02-23,1.60987,4.1,Stock,0,UUUU,UUUU,USA,Energy,,
WEAT,USD,IB Brokers,-800,2018-02-14,6.39,4.21,Stock,0,WEAT,WEAT,USA,Basic Materials,,Agricultural commodity
BABA,USD,Keytrade,-28,2018-02-07,182.731,29.95,Stock,0,BABA,BABA,,,,
ISJP,USD,Keytrade,1,2018-02-01,29.01,,Dividend,,,,,,,
