ticker,currency,portfolio,quantity,transaction_date,price,commission,instrument_type,is_short,alpha_ticker,saved_as,geography,sector,group,industry
NFX,USD,IB Brokers,-300,2018-03-13,1.98,2.38,Options,1,NFX,NFX,USA,,,
RGLD 20Apr18 P 82.5,USD,IB Brokers,200,2018-03-14,2.08,0.02,Options,1,RGLD,RGLD,USA,Basic Materials,Metals & Mining,Gold mining
SPY 19Mar18 C 278,USD,IB Brokers,-200,2018-03-12,1.89,1.59,Options,1,SPY,SPY,USA,,,
SPY 19Mar18 C 278,USD,IB Brokers,-200,2018-03-14,0.33,0.84,Options,1,SPY,SPY,USA,,,
SPY 19Mar18 C 278,USD,IB Brokers,400,2018-03-15,0.34,1.67,Options,1,SPY,SPY,USA,,,
SPY 23Mar18 C 269,USD,IB Brokers,-100,2018-03-06,5.12,0.73,Options,1,SPY,SPY,USA,,,
SPY 23Mar18 C 269,USD,IB Brokers,100,2018-03-08,5.91,0.72,Options,1,SPY,SPY,USA,,,
SPY 28Mar18 C 270,USD,IB Brokers,-200,2018-03-19,2.77,0.85,Options,1,SPY,SPY,USA,,,
SPY 28Mar18 C 270,USD,IB Brokers,200,2018-03-21,3.47,2.32,Options,1,SPY,SPY,USA,,,
WMT 18May18 P 87.5,USD,IB Brokers,200,2018-03-20,3.42,0.98,Options,0,WMT,WMT,USA,,,
WMT 18May18 P 87.5,USD,IB Brokers,-200,2018-03-21,3.28,0.99,Options,0,WMT,WMT,USA,,,
WMT 18May18 P 87.5,USD,IB Brokers,-200,2018-03-22,3.28,0.99,Options,1,WMT,WMT,USA,,,
Fees,CAD,IB Brokers,1,2018-03-05,-0.16,,Fees,,,,,,,
Fees,EUR,IB Brokers,1,2018-03-05,-0.15,,Fees,,,,,,,
Fees,USD,IB Brokers,1,2018-03-05,-106.47,,Fees,,,,,,,
Fees,USD,IB Brokers,1,2018-03-05,4.39,,Fees,,,,,,,
ABX,USD,IB Brokers,1,2018-03-15,10.2,,Dividend,,,,,,,
GLW,USD,IB Brokers,1,2018-03-29,88.2,,Dividend,,,,,,,
