"Index","Open","High","Low","Close","Volume","Adjusted"
2008-12-11,NA,NA,NA,NA,NA,NA
2008-12-12,NA,NA,NA,NA,NA,NA
2008-12-15,NA,NA,NA,NA,NA,NA
2008-12-16,84.089996,84.089996,84.089996,84.089996,0,84.089996
2008-12-17,NA,NA,NA,NA,NA,NA
2008-12-18,NA,NA,NA,NA,NA,NA
2008-12-19,NA,NA,NA,NA,NA,NA
2008-12-22,NA,NA,NA,NA,NA,NA
2008-12-23,NA,NA,NA,NA,NA,NA
2008-12-24,84.089996,84.089996,84.089996,84.089996,0,84.089996
2008-12-29,84.089996,84.089996,84.089996,84.089996,0,84.089996
2008-12-30,NA,NA,NA,NA,NA,NA
2008-12-31,84.089996,84.089996,84.089996,84.089996,0,84.089996
2009-01-02,84.089996,84.089996,84.089996,84.089996,0,84.089996
2009-01-05,84.089996,84.089996,84.089996,84.089996,0,84.089996
2009-01-06,NA,NA,NA,NA,NA,NA
2009-01-07,NA,NA,NA,NA,NA,NA
2009-01-08,NA,NA,NA,NA,NA,NA
2009-01-09,NA,NA,NA,NA,NA,NA
2009-01-12,NA,NA,NA,NA,NA,NA
2009-01-13,NA,NA,NA,NA,NA,NA
2009-01-14,NA,NA,NA,NA,NA,NA
2009-01-15,NA,NA,NA,NA,NA,NA
2009-01-16,NA,NA,NA,NA,NA,NA
2009-01-19,NA,NA,NA,NA,NA,NA
2009-01-20,NA,NA,NA,NA,NA,NA
2009-01-21,NA,NA,NA,NA,NA,NA
2009-01-22,NA,NA,NA,NA,NA,NA
2009-01-23,NA,NA,NA,NA,NA,NA
2009-01-26,NA,NA,NA,NA,NA,NA
2009-01-27,NA,NA,NA,NA,NA,NA
2009-01-28,NA,NA,NA,NA,NA,NA
2009-01-29,NA,NA,NA,NA,NA,NA
2009-01-30,NA,NA,NA,NA,NA,NA
2009-02-02,NA,NA,NA,NA,NA,NA
2009-02-03,NA,NA,NA,NA,NA,NA
2009-02-04,NA,NA,NA,NA,NA,NA
2009-02-05,NA,NA,NA,NA,NA,NA
2009-02-06,NA,NA,NA,NA,NA,NA
2009-02-09,NA,NA,NA,NA,NA,NA
2009-02-10,NA,NA,NA,NA,NA,NA
2009-02-11,NA,NA,NA,NA,NA,NA
2009-02-12,NA,NA,NA,NA,NA,NA
2009-02-13,NA,NA,NA,NA,NA,NA
2009-02-16,NA,NA,NA,NA,NA,NA
2009-02-17,NA,NA,NA,NA,NA,NA
2009-02-18,NA,NA,NA,NA,NA,NA
2009-02-19,NA,NA,NA,NA,NA,NA
2009-02-20,NA,NA,NA,NA,NA,NA
2009-02-23,77.330002,77.330002,77.330002,77.330002,3000,77.330002
2009-02-24,NA,NA,NA,NA,NA,NA
2009-02-25,NA,NA,NA,NA,NA,NA
2009-02-26,74.300003,74.300003,74.300003,74.300003,10,74.300003
2009-02-27,NA,NA,NA,NA,NA,NA
2009-03-02,NA,NA,NA,NA,NA,NA
2009-03-03,NA,NA,NA,NA,NA,NA
2009-03-04,74.059998,74.059998,74.059998,74.059998,1,74.059998
2009-03-05,70.599998,70.599998,70.599998,70.599998,1,70.599998
2009-03-06,69.690002,69.690002,69.690002,69.690002,1,69.690002
2009-03-09,70.260002,70.260002,70.260002,70.260002,1,70.260002
2009-03-10,73.800003,73.800003,73.800003,73.800003,1,73.800003
2009-03-11,74.400002,74.400002,74.400002,74.400002,1,74.400002
2009-03-12,75.040001,75.040001,75.040001,75.040001,1,75.040001
2009-03-13,76.349998,76.349998,75.269997,75.269997,31,75.269997
2009-03-16,76.720001,76.720001,76.720001,76.720001,1,76.720001
2009-03-17,75.82,75.82,75.82,75.82,1,75.82
2009-03-18,NA,NA,NA,NA,NA,NA
2009-03-19,76.730003,76.730003,76.730003,76.730003,1,76.730003
2009-03-20,77.290001,77.290001,77.290001,77.290001,1,77.290001
2009-03-23,79.260002,79.260002,79.260002,79.260002,1,79.260002
2009-03-24,79.519997,79.519997,79.519997,79.519997,1,79.519997
2009-03-25,80.18,80.18,80.18,80.18,1,80.18
2009-03-26,80.449997,80.910004,80.449997,80.910004,31,80.910004
2009-03-27,79.980003,79.980003,79.980003,79.980003,1,79.980003
2009-03-30,77.239998,77.239998,76.080002,76.080002,61,76.080002
2009-03-31,77.849998,77.849998,77.849998,77.849998,1,77.849998
2009-04-01,NA,NA,NA,NA,NA,NA
2009-04-02,81.449997,83.559998,81.449997,83.559998,61,83.559998
2009-04-03,83.470001,83.470001,83.470001,83.470001,1,83.470001
2009-04-06,84.580002,84.660004,82.75,82.75,2678,82.75
2009-04-07,82.389999,82.389999,82.389999,82.389999,1,82.389999
2009-04-08,83.199997,83.199997,83.199997,83.199997,1,83.199997
2009-04-09,85.599998,85.599998,85.599998,85.599998,1,85.599998
2009-04-14,86.75,86.75,86.75,86.75,1,86.75
2009-04-15,86.690002,86.690002,86.690002,86.690002,1,86.690002
2009-04-16,88,88,88,88,1,88
2009-04-17,89.099998,89.099998,89.099998,89.099998,1,89.099998
2009-04-20,85.910004,85.910004,85.910004,85.910004,1,85.910004
2009-04-21,86.010002,86.010002,86.010002,86.010002,1,86.010002
2009-04-22,87.769997,87.769997,87.769997,87.769997,1,87.769997
2009-04-23,86.68,86.68,86.68,86.68,1,86.68
2009-04-24,89.199997,89.199997,89.199997,89.199997,1,89.199997
2009-04-27,89.739998,89.739998,89.739998,89.739998,1,89.739998
2009-04-28,87.93,87.93,87.93,87.93,1,87.93
2009-04-29,89.809998,89.809998,89.809998,89.809998,1,89.809998
2009-04-30,91.330002,91.330002,91.330002,91.330002,1,91.330002
2009-05-04,92.160004,93.07,92.160004,93.07,1601,93.07
2009-05-05,92.330002,92.330002,92.330002,92.330002,1,92.330002
2009-05-06,93,93,93,93,1,93
2009-05-07,91.379997,91.379997,91.379997,91.379997,1,91.379997
2009-05-08,93.239998,93.239998,93.239998,93.239998,1,93.239998
2009-05-11,92.059998,92.059998,92.059998,92.059998,1,92.059998
2009-05-12,91.830002,91.830002,91.830002,91.830002,1,91.830002
2009-05-13,91,91,89.290001,89.290001,66,89.290001
2009-05-14,89.519997,89.519997,89.519997,89.519997,1,89.519997
2009-05-15,89.480003,89.690002,89.480003,89.690002,11,89.690002
2009-05-18,91.620003,91.620003,91.620003,91.620003,1,91.620003
2009-05-19,93.620003,93.620003,93.620003,93.620003,1,93.620003
2009-05-20,95.230003,95.230003,95.230003,95.230003,1,95.230003
